bundle,type,count,error
scenario/scenario_alm-os-ni00201.unity3d,GameObject,151,
scenario/scenario_alm-os-ni00201.unity3d,Transform,128,
scenario/scenario_alm-os-ni00201.unity3d,MonoScript,50,
scenario/scenario_alm-os-ni00201.unity3d,MeshRenderer,28,
scenario/scenario_alm-os-ni00201.unity3d,MeshFilter,28,
scenario/scenario_alm-os-ni00201.unity3d,RectTransform,23,
scenario/scenario_alm-os-ni00201.unity3d,Animator,22,
scenario/scenario_alm-os-ni00201.unity3d,CanvasRenderer,12,
scenario/scenario_alm-os-ni00201.unity3d,SpriteRenderer,10,
scenario/scenario_alm-os-ni00201.unity3d,PlayableDirector,8,
scenario/scenario_alm-os-ni00201.unity3d,AnimatorController,5,
scenario/scenario_alm-os-ni00201.unity3d,Material,4,
scenario/scenario_alm-os-ni00201.unity3d,TextAsset,4,
scenario/scenario_alm-os-ni00201.unity3d,BoxCollider,4,
scenario/scenario_alm-os-ni00201.unity3d,Sprite,3,
scenario/scenario_alm-os-ni00201.unity3d,Camera,2,
scenario/scenario_alm-os-ni00201.unity3d,CanvasGroup,2,
scenario/scenario_alm-os-ni00201.unity3d,PreloadData,1,
scenario/scenario_alm-os-ni00201.unity3d,AssetBundle,1,
scenario/scenario_alm-os-ni00201.unity3d,RenderSettings,1,
scenario/scenario_alm-os-ni00201.unity3d,LightmapSettings,1,
scenario/scenario_alm-os-ni00201.unity3d,NavMeshSettings,1,
scenario/scenario_alm-os-ni00201.unity3d,ParticleSystem,1,
scenario/scenario_alm-os-ni00201.unity3d,ParticleSystemRenderer,1,
scenario/scenario_alm-os-ni00201.unity3d,Canvas,1,
scenario/scenario_alm-os-ni00201.unity3d,LightingSettings,1,
scenario/scenario_alm-thea-da00101.unity3d,AnimationClip,491,
scenario/scenario_alm-thea-da00101.unity3d,MonoBehaviour,113,
scenario/scenario_alm-thea-da00101.unity3d,GameObject,105,
scenario/scenario_alm-thea-da00101.unity3d,Transform,81,
scenario/scenario_alm-thea-da00101.unity3d,MonoScript,48,
scenario/scenario_alm-thea-da00101.unity3d,RectTransform,24,
scenario/scenario_alm-thea-da00101.unity3d,Animator,17,
scenario/scenario_alm-thea-da00101.unity3d,CanvasRenderer,14,
scenario/scenario_alm-thea-da00101.unity3d,SpriteRenderer,10,
scenario/scenario_alm-thea-da00101.unity3d,AnimatorController,6,
scenario/scenario_alm-thea-da00101.unity3d,Sprite,5,
scenario/scenario_alm-thea-da00101.unity3d,MeshRenderer,4,
scenario/scenario_alm-thea-da00101.unity3d,MeshFilter,4,
scenario/scenario_alm-thea-da00101.unity3d,PlayableDirector,4,
scenario/scenario_alm-thea-da00101.unity3d,Material,3,
scenario/scenario_alm-thea-da00101.unity3d,TextAsset,3,
scenario/scenario_alm-thea-da00101.unity3d,BoxCollider,3,
scenario/scenario_alm-thea-da00101.unity3d,Camera,2,
scenario/scenario_alm-thea-da00101.unity3d,CanvasGroup,2,
scenario/scenario_alm-thea-da00101.unity3d,PreloadData,1,
scenario/scenario_alm-thea-da00101.unity3d,AssetBundle,1,
scenario/scenario_alm-thea-da00101.unity3d,RenderSettings,1,
scenario/scenario_alm-thea-da00101.unity3d,LightmapSettings,1,
scenario/scenario_alm-thea-da00101.unity3d,NavMeshSettings,1,
scenario/scenario_alm-thea-da00101.unity3d,Canvas,1,
scenario/scenario_alm-thea-da00101.unity3d,LightingSettings,1,
scenario/scenario_battle000_012-spcl.unity3d,AnimationClip,1928,
